m/z,feature importance
591.359375,0.019643713
466.3300476074219,0.018123731
645.5018920898438,0.01725595
385.103759765625,0.012336662
351.2652893066406,0.010388744
545.4514770507812,0.0
891.7156982421875,0.0
472.3897705078125,0.0
603.1588134765625,0.0
387.3236389160156,0.0
371.0444030761719,0.0
537.48681640625,0.0
629.3726196289062,0.0
350.2553405761719,0.0
397.22821044921875,0.0
912.6897583007812,0.0
668.600830078125,0.0
660.4212036132812,0.0
491.09893798828125,0.0
886.595947265625,0.0
615.1832885742188,0.0
816.4341430664062,0.0
593.50927734375,0.0
518.0626831054688,0.0
357.0700378417969,0.0
360.2798767089844,0.0
712.6788330078125,0.0
633.1724853515625,0.0
725.1983032226562,0.0
874.7315063476562,0.0
314.93695068359375,0.0
576.4750366210938,0.0
879.7362670898438,0.0
662.4461669921875,0.0
569.4053955078125,0.0
615.1582641601562,0.0
612.4534301757812,0.0
351.96527099609375,0.0
383.0838317871094,0.0
