group,sample,x,y,UMAP_1,UMAP_2,label,label_color
UPEC,UPEC_12,62,1,0.14268461,0.7206211,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,63,1,0.34896588,0.8659547,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,64,1,0.025929585,0.68138504,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,65,1,0.20176937,0.7355471,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,66,1,0.017197544,0.6780139,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,67,1,0.01873139,0.68331695,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,68,1,0.104850546,0.82832587,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,69,1,0.08035293,0.8007644,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,70,1,0.070263214,0.78138286,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,71,1,0.104033194,0.8467246,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,72,1,0.028408384,0.7190585,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,73,1,0.1361565,0.84513867,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,74,1,0.047332376,0.75219625,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,75,1,0.018483937,0.7046539,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,76,1,0.050844315,0.7891683,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,77,1,0.113039605,0.8669223,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,78,1,0.07244039,0.79342043,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,79,1,0.07814294,0.82208747,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,80,1,0.16086572,0.905028,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,81,1,0.083527476,0.80910903,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,82,1,0.0308644,0.70492697,4,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
UPEC,UPEC_12,83,1,0.17725483,0.9395466,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
UPEC,UPEC_12,84,1,0.1437186,0.8979904,2,"(0.9019607843137256, 0.9607843137254902, 0.5960784313725491, 1.0)"
